sample_id	cram_file_gcp	cram_index_gcp	cram_file_aws	cram_index_aws	cram_file_md5	cram_file_size	cram_index_md5
GTEX-1192W-0001-SM-6WBTI	gs://gtex-v7-exchange-011618/wgs_cram_files/GTEX-1192W-0001-SM-6WBTI.cram	gs://gtex-v7-exchange-011618/wgs_cram_files/GTEX-1192W-0001-SM-6WBTI.crai	s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-1192W-0001-SM-6WBTI.cram	s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-1192W-0001-SM-6WBTI.crai	e03c199a40d9af724ce171f224b28672	48369528870	91f5d1fc0e799d6cdf898cfd20208a39
GTEX-1192X-0004-SM-6WBTF	gs://gtex-v7-exchange-011618/wgs_cram_files/GTEX-1192X-0004-SM-6WBTF.cram	gs://gtex-v7-exchange-011618/wgs_cram_files/GTEX-1192X-0004-SM-6WBTF.crai	s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-1192X-0004-SM-6WBTF.cram	s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-1192X-0004-SM-6WBTF.crai	e5830a4191d6f8fd02094e0a4865aef1	49879620181	ac52cca7831780a539ff55f07af643a2
GTEX-11DXX-0004-SM-6WBT9	gs://gtex-v7-exchange-011618/wgs_cram_files/GTEX-11DXX-0004-SM-6WBT9.cram	gs://gtex-v7-exchange-011618/wgs_cram_files/GTEX-11DXX-0004-SM-6WBT9.crai	s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-11DXX-0004-SM-6WBT9.cram	s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-11DXX-0004-SM-6WBT9.crai	e8729e903729af7102b98d39ad0669d6	50763270315	7d0b9d7ade282be8ad62feaff027ab8a
GTEX-11DXY-0004-SM-6WBTO	gs://gtex-v7-exchange-011618/wgs_cram_files/GTEX-11DXY-0004-SM-6WBTO.cram	gs://gtex-v7-exchange-011618/wgs_cram_files/GTEX-11DXY-0004-SM-6WBTO.crai	s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-11DXY-0004-SM-6WBTO.cram	s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-11DXY-0004-SM-6WBTO.crai	a558375f560ff2f162fb4d31e9cf261d	62399565628	41b6edd80a83cba0b33c1ad703e1e945
GTEX-11DXZ-0003-SM-6WBTM	gs://gtex-v7-exchange-011618/wgs_cram_files/GTEX-11DXZ-0003-SM-6WBTM.cram	gs://gtex-v7-exchange-011618/wgs_cram_files/GTEX-11DXZ-0003-SM-6WBTM.crai	s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-11DXZ-0003-SM-6WBTM.cram	s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-11DXZ-0003-SM-6WBTM.crai	d19610650426ec502d6adb575a248ebc	58592508736	da0205b5b99152168ac87d317e66d4d0
GTEX-11DYG-0004-SM-6WBTB	gs://gtex-v7-exchange-011618/wgs_cram_files/GTEX-11DYG-0004-SM-6WBTB.cram	gs://gtex-v7-exchange-011618/wgs_cram_files/GTEX-11DYG-0004-SM-6WBTB.crai	s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-11DYG-0004-SM-6WBTB.cram	s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-11DYG-0004-SM-6WBTB.crai	442617bb58bef744e62896cd5d2b73ca	58936101944	7feb9da9cd4134d6769948ff4856c069
GTEX-11DZ1-0002-SM-6WBTG	gs://gtex-v7-exchange-011618/wgs_cram_files/GTEX-11DZ1-0002-SM-6WBTG.cram	gs://gtex-v7-exchange-011618/wgs_cram_files/GTEX-11DZ1-0002-SM-6WBTG.crai	s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-11DZ1-0002-SM-6WBTG.cram	s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-11DZ1-0002-SM-6WBTG.crai	d6dde6970650a44d87b896c57a475bd5	55897627446	6ebcd81200324ef369236fb9c02fe506
GTEX-11EI6-0004-SM-6WBTC	gs://gtex-v7-exchange-011618/wgs_cram_files/GTEX-11EI6-0004-SM-6WBTC.cram	gs://gtex-v7-exchange-011618/wgs_cram_files/GTEX-11EI6-0004-SM-6WBTC.crai	s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-11EI6-0004-SM-6WBTC.cram	s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-11EI6-0004-SM-6WBTC.crai	0a0fd4ce26abb55912f2edcf8f942ba8	45451307049	a7fee577b6d71b7c66b157f81170fea9
GTEX-11EM3-0004-SM-6WBUK	gs://gtex-v7-exchange-011618/wgs_cram_files/GTEX-11EM3-0004-SM-6WBUK.cram	gs://gtex-v7-exchange-011618/wgs_cram_files/GTEX-11EM3-0004-SM-6WBUK.crai	s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-11EM3-0004-SM-6WBUK.cram	s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-11EM3-0004-SM-6WBUK.crai	b42719d664bf4c5f14ae650cee40a92e	51435260260	f65de15b28777e4930bc6213e92c76fc
GTEX-11EMC-0004-SM-6WBUA	gs://gtex-v7-exchange-011618/wgs_cram_files/GTEX-11EMC-0004-SM-6WBUA.cram	gs://gtex-v7-exchange-011618/wgs_cram_files/GTEX-11EMC-0004-SM-6WBUA.crai	s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-11EMC-0004-SM-6WBUA.cram	s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-11EMC-0004-SM-6WBUA.crai	d6f5fce377c93ace058b12705b82b9d4	54393697454	8791ee0daab88ae6936f66075af85a16
GTEX-11EQ8-0001-SM-6WBTP	gs://gtex-v7-exchange-011618/wgs_cram_files/GTEX-11EQ8-0001-SM-6WBTP.cram	gs://gtex-v7-exchange-011618/wgs_cram_files/GTEX-11EQ8-0001-SM-6WBTP.crai	s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-11EQ8-0001-SM-6WBTP.cram	s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-11EQ8-0001-SM-6WBTP.crai	92c85eecef4be936a6f2f3b251d862d3	47049998409	9ed83c5c8ea70deacfae3d8ef120c98f
GTEX-11EQ9-0003-SM-6WBTK	gs://gtex-v7-exchange-011618/wgs_cram_files/GTEX-11EQ9-0003-SM-6WBTK.cram	gs://gtex-v7-exchange-011618/wgs_cram_files/GTEX-11EQ9-0003-SM-6WBTK.crai	s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-11EQ9-0003-SM-6WBTK.cram	s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-11EQ9-0003-SM-6WBTK.crai	8185c5be3cf46fe300d102758b41e437	48922723814	62acb40f938f1d3ca06f4cacb83b2554
GTEX-11GS4-0004-SM-6WBTL	gs://gtex-v7-exchange-011618/wgs_cram_files/GTEX-11GS4-0004-SM-6WBTL.cram	gs://gtex-v7-exchange-011618/wgs_cram_files/GTEX-11GS4-0004-SM-6WBTL.crai	s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-11GS4-0004-SM-6WBTL.cram	s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-11GS4-0004-SM-6WBTL.crai	3e69b501381997f2eb235e4b925b8de6	59484315380	4c44bc37e528e844710002badcc45eee
GTEX-11GSO-0003-SM-6WBTR	gs://gtex-v7-exchange-011618/wgs_cram_files/GTEX-11GSO-0003-SM-6WBTR.cram	gs://gtex-v7-exchange-011618/wgs_cram_files/GTEX-11GSO-0003-SM-6WBTR.crai	s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-11GSO-0003-SM-6WBTR.cram	s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-11GSO-0003-SM-6WBTR.crai	a8cc8aed8e2eca28aeab7f1e7fc278d9	50009210793	3b9c74e57a14399a5a0162f052dee6e3
GTEX-11GSP-0004-SM-6WBTQ	gs://gtex-v7-exchange-011618/wgs_cram_files/GTEX-11GSP-0004-SM-6WBTQ.cram	gs://gtex-v7-exchange-011618/wgs_cram_files/GTEX-11GSP-0004-SM-6WBTQ.crai	s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-11GSP-0004-SM-6WBTQ.cram	s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-11GSP-0004-SM-6WBTQ.crai	14a2f1a09552105599d4ad70273f4c3e	48445650282	2485e4970d9f601fe4b068a94142229d
GTEX-11I78-0002-SM-6WBU2	gs://gtex-v7-exchange-011618/wgs_cram_files/GTEX-11I78-0002-SM-6WBU2.cram	gs://gtex-v7-exchange-011618/wgs_cram_files/GTEX-11I78-0002-SM-6WBU2.crai	s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-11I78-0002-SM-6WBU2.cram	s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-11I78-0002-SM-6WBU2.crai	594c86fdb62dbb7ef1962c740b2d700d	49426054182	7fdd7bc2b9daa49b2d7295bf29efdda0
GTEX-11LCK-0002-SM-6WBSW	gs://gtex-v7-exchange-011618/wgs_cram_files/GTEX-11LCK-0002-SM-6WBSW.cram	gs://gtex-v7-exchange-011618/wgs_cram_files/GTEX-11LCK-0002-SM-6WBSW.crai	s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-11LCK-0002-SM-6WBSW.cram	s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-11LCK-0002-SM-6WBSW.crai	e7d2e5151d06c82696cbdc47d34158ac	53319618124	99a42e5fe0046d10cf65c2c344ad8997
GTEX-11NUK-0004-SM-6WBTU	gs://gtex-v7-exchange-011618/wgs_cram_files/GTEX-11NUK-0004-SM-6WBTU.cram	gs://gtex-v7-exchange-011618/wgs_cram_files/GTEX-11NUK-0004-SM-6WBTU.crai	s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-11NUK-0004-SM-6WBTU.cram	s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-11NUK-0004-SM-6WBTU.crai	07edd43ce7b0cf86ed8459178875de7b	53912995602	8f095351fd7a40f0e37f6428b299cdf5
GTEX-11NV4-0001-SM-6WBTT	gs://gtex-v7-exchange-011618/wgs_cram_files/GTEX-11NV4-0001-SM-6WBTT.cram	gs://gtex-v7-exchange-011618/wgs_cram_files/GTEX-11NV4-0001-SM-6WBTT.crai	s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-11NV4-0001-SM-6WBTT.cram	s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-11NV4-0001-SM-6WBTT.crai	912a9786ed7cfbcc7c12722bbc29d1a5	49825856119	04ff9734b022d1ddf0e6f93272f56826
